CHN17CS001  MA101 8.5 , PH100 8 , BE100 7 , BE10105 8 , BE103 8 , EE100 6 , PH110 8.5 , EE110 8 , CS110 8.5 
CHN17CS002  MA101 8.5 , PH100 8 , BE100 7 , BE10105 8 , BE103 8.5 , EE100 7 , PH110 8 , EE110 8 , CS110 7 
CHN17CS003  MA101 8 , PH100 7 , BE100 6 , BE10105 6 , BE103 9 , EE100 6 , PH110 8 , EE110 8 , CS110 7 
CHN17CS004  MA101 7 , PH100 6 , BE100 8 , BE10105 6 , BE103 8 , EE100 7 , PH110 8.5 , EE110 9 , CS110 10 
CHN17CS005  MA101 6 , PH100 7 , BE100 7 , BE10105 6 , BE103 8 , EE100 7 , PH110 8.5 , EE110 8 , CS110 8 
CHN17CS006  MA101 10 , PH100 8 , BE100 9 , BE10105 7 , BE103 9 , EE100 8 , PH110 9 , EE110 8 , CS110 9 
CHN17CS007  MA101 0 , PH100 6 , BE100 5 , BE10105 0 , BE103 8 , EE100 0 , PH110 8.5 , EE110 8 , CS110 8 
CHN17CS008  MA101 7 , PH100 7 , BE100 7 , BE10105 8 , BE103 8.5 , EE100 6 , PH110 9 , EE110 8 , CS110 7 
CHN17CS009  MA101 8.5 , PH100 8.5 , BE100 7 , BE10105 0 , BE103 9 , EE100 6 , PH110 8.5 , EE110 8 , CS110 7 
CHN17CS010  MA101 0 , PH100 6 , BE100 7 , BE10105 6 , BE103 7 , EE100 6 , PH110 8 , EE110 8 , CS110 7 
CHN17CS011  MA101 6 , PH100 7 , BE100 7 , BE10105 8 , BE103 9 , EE100 8 , PH110 9 , EE110 8.5 , CS110 8.5 
CHN17CS012  MA101 8 , PH100 9 , BE100 8 , BE10105 8 , BE103 9 , EE100 8 , PH110 9 , EE110 9 , CS110 8 
CHN17CS013  MA101 0 , PH100 7 , BE100 7 , BE10105 8.5 , BE103 8.5 , EE100 7 , PH110 9 , EE110 8.5 , CS110 10 
CHN17CS014  MA101 0 , PH100 7 , BE100 0 , BE10105 8 , BE103 8 , EE100 6 , PH110 8.5 , EE110 9 , CS110 8 
CHN17CS015  MA101 0 , PH100 8 , BE100 6 , BE10105 0 , BE103 8.5 , EE100 7 , PH110 9 , EE110 8.5 , CS110 6 
CHN17CS016  MA101 7 , PH100 8 , BE100 6 , BE10105 0 , BE103 8 , EE100 6 , PH110 8.5 , EE110 8.5 , CS110 8 
CHN17CS017  MA101 8 , PH100 8.5 , BE100 8 , BE10105 9 , BE103 9 , EE100 8.5 , PH110 9 , EE110 8.5 , CS110 10 
CHN17CS018  MA101 0 , PH100 0 , BE100 0 , BE10105 0 , BE103 6 , EE100 5 , PH110 8 , EE110 8 , CS110 8.5 
CHN17CS019  MA101 8.5 , PH100 9 , BE100 8 , BE10105 9 , BE103 8.5 , EE100 8.5 , PH110 10 , EE110 8 , CS110 10 
CHN17CS020  MA101 8 , PH100 6 , BE100 7 , BE10105 0 , BE103 7 , EE100 6 , PH110 9 , EE110 8 , CS110 8 
CHN17CS021  MA101 7 , PH100 6 , BE100 7 , BE10105 8 , BE103 7 , EE100 6 , PH110 9 , EE110 8 , CS110 10 
CHN17CS022  MA101 0 , PH100 6 , BE100 0 , BE10105 0 , BE103 0 , EE100 0 , PH110 8 , EE110 7 , CS110 8.5 
CHN17CS023  MA101 0 , PH100 6 , BE100 0 , BE10105 0 , BE103 8 , EE100 6 , PH110 8 , EE110 9 , CS110 8 
CHN17CS024  MA101 8 , PH100 9 , BE100 10 , BE10105 9 , BE103 9 , EE100 8 , PH110 9 , EE110 8 , CS110 10 
CHN17CS025  MA101 0 , PH100 7 , BE100 7 , BE10105 6 , BE103 8 , EE100 6 , PH110 8.5 , EE110 8 , CS110 7 
CHN17CS026  MA101 6 , PH100 8 , BE100 8 , BE10105 8.5 , BE103 8 , EE100 6 , PH110 10 , EE110 8.5 , CS110 8.5 
CHN17CS027  MA101 8.5 , PH100 7 , BE100 7 , BE10105 8 , BE103 9 , EE100 7 , PH110 8.5 , EE110 9 , CS110 10 
CHN17CS028  MA101 8 , PH100 8 , BE100 8 , BE10105 8.5 , BE103 8 , EE100 8 , PH110 9 , EE110 8 , CS110 9 
CHN17CS029  MA101 0 , PH100 0 , BE100 0 , BE10105 6 , BE103 8 , EE100 5 , PH110 8 , EE110 8.5 , CS110 8.5 
CHN17CS030  MA101 9 , PH100 8.5 , BE100 9 , BE10105 9 , BE103 8 , EE100 8 , PH110 10 , EE110 9 , CS110 10 
CHN17CS031  MA101 0 , PH100 6 , BE100 0 , BE10105 6 , BE103 8 , EE100 6 , PH110 8 , EE110 8 , CS110 8 
CHN17CS032  MA101 0 , PH100 6 , BE100 6 , BE10105 8 , BE103 8 , EE100 6 , PH110 8 , EE110 8.5 , CS110 9 
CHN17CS033  MA101 8 , PH100 8.5 , BE100 8 , BE10105 0 , BE103 7 , EE100 8 , PH110 9 , EE110 8.5 , CS110 7 
CHN17CS034  MA101 7 , PH100 8 , BE100 7 , BE10105 0 , BE103 9 , EE100 6 , PH110 8.5 , EE110 8 , CS110 9 
CHN17CS035  MA101 0 , PH100 6 , BE100 0 , BE10105 0 , BE103 7 , EE100 6 , PH110 8 , EE110 8 , CS110 8 
CHN17CS036  MA101 8 , PH100 9 , BE100 9 , BE10105 8 , BE103 10 , EE100 7 , PH110 9 , EE110 9 , CS110 8 
